,School Name,Locality,City,Phone Number,Details
23,DC Montessori Senior Secondary Smart School," Near Modren Housing Complex, Manimajra ","Chandigarh - 160101, Chandigarh, India", (0172)-2734464,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
24,DC Montessori Smart School," Near Modern Housing Complex, Manimajra ","Chandigarh - 160101, Chandigarh, India", (0172)-2734464,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
25,Deep Public School," Plot No. 24, Village - Mouli Jagran ","Chandigarh - 160102, Chandigarh, India","  9855313126, 9855313127
                          ","['Nursery - Class X', 'Private School', 'Co-Educational School', 'Established in 1994']"
26,Defence Smart Public School," Saini Vihar, Phase III, Baltana ","Chandigarh, Chandigarh, India", (01762)-270151,"['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
27,Delhi Public School - DPS Chandigarh, Sector 40-C ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2690911, 2690991, 2690903","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2003']"
28,Divya Public School, Sector 44-D ,"Chandigarh - 160044, Chandigarh, India"," (0172)-5260175, 2620808
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
29,Don Bosco Sawera," House No. 3958-59, Sector 47-D
 ","Chandigarh - 160047, Chandigarh, India", (0172)-2633795,"['Private School (School for Gifted Children)', 'Co-Educational School']"
30,DRA Bhavan Vidyalaya - Junior Wing," Sector 33-D, Opposite to Rajasthan Bhavan ","Chandigarh - 160044, Chandigarh, India"," (0172)-4023471, 4023472, 4023475
                          ","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1983']"
31,DRA Bhavan Vidyalaya - Senior Wing," Jaisukhlal Hathi Sadan, Sector 27-B , Madhya Marg ","Chandigarh - 160019, Chandigarh, India"," (0172)-5041620, 2656955","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1983']"
32,Dutt Vishesh School," Near New Blind School, Sector 26 ","Chandigarh - 160026, Chandigarh, India", (0172)-2793992,"['Play School', 'Private School', 'Co-Educational School']"
33,EuroKids - Sector 37-D," Opp. #3048, Sector 37-D ","Chandigarh - 160036, Chandigarh, India"," (0172)-4668354
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
34,First Steps Play School," Sector 26
 ","Chandigarh - 160019, Chandigarh, India"," (0172)-2792008, 2793992","['Play School', 'Private School', 'Co-Educational School']"
35,FirstSteps IB World School," Opp. Behind Girls Hostel, Sector 26 ","Chandigarh - 160019, Chandigarh, India","  9872000013, 9988889948, 9988889947
                          ","['Nursery - Class X', 'Private School', 'Co-Educational School']"
36,Government Girls High School, Sector 25 ,"Chandigarh - 160014, Chandigarh, India"," (0172)-2700139
                          ","['High Secondary School', 'CBSE Board', 'Government School', 'Girls Only School', 'Established in 1990']"
37,Government Girls Higher Secondary School, Sector 21 ,"Chandigarh - 160021, Chandigarh, India"," (0172)-2708202
                          ","['High Secondary School', 'Private School', 'Girls Only School']"
38,Government Girls Senior Secondary School, Sector 20-B ,"Chandigarh - 160021, Chandigarh, India"," (0172)-2700720
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Girls Only School']"
39,Government High School, Sector 24-A ,"Chandigarh - 160024, Chandigarh, India"," (0172)-2700112
                          ","['High Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
40,Government Model High School," Sector 41-D, Village - Badheri ","Chandigarh - 160036, Chandigarh, India"," (0172)-2677012
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
41,Government Model High School - GMHS, Sector 34-C ,"Chandigarh - 160022, Chandigarh, India"," (0172)-2676003
                          ","['High Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
42,Government Model Senior Secondary School - GMSSS, Sector 56 ,"Chandigarh - 160055, Chandigarh, India"," (0172)-2636875
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School', 'Established in 2006']"
43,Government Senior Secondary School, Manimajara Town ,"Chandigarh - 160101, Chandigarh, India"," (0172)-2751002
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School']"
44,Government Senior Secondary School - GSSS, Sector 45-A ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2676028
                          ","['Senior Secondary School', 'CBSE Board', 'Government School', 'Co-Educational School', 'Established in 1986']"
45,Green Castle Smart School," Near Govt. Creche, Sector 47-C ","Chandigarh - 160047, Chandigarh, India", (0172)-2630449,"['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
46,Guru Nanak Khalsa Senior Secondary School, Sector 30-B ,"Chandigarh - 160030, Chandigarh, India"," (0172)-2654593, 2654693","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1965']"
47,Guru Nanak Public School, Sector 36-D ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2601214
                          ","['Class X - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
48,Guru Teg Bahadur Public School," Adjacent to Gurudwara Sahib, Sector 15-C ","Chandigarh - 160017, Chandigarh, India"," (0172)-4064793, 2783013
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
49,Gurukul Global School," Adjoining Police Station, Manimajra, Near IT Park ","Chandigarh - 160101, Chandigarh, India"," (0172)-2735100, 2736100","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2008']"
50,Gurukul School, Old Panchkula ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2563172
                          ","['CBSE Board', 'Private School', 'Co-Educational School']"
51,Gyandeep Model Senior Secondary School, Sector 20-C ,"Chandigarh - 160020, Chandigarh, India"," (0172)-2771945, 2707524","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
52,Gyandeep Smart School, Sector 20 ,"Chandigarh - 160020, Chandigarh, India"," (0172)-2707524
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
53,Holy Angel School," Bapudham Colony, Sector 26 ","Chandigarh - 160019, Chandigarh, India"," (0172)-2792145
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
54,Institute for Blind, Sector 26 ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2791154, 2793958, 2793950
                          ","['Class I - Class X', 'Private School', 'Co-Educational School']"
55,International Public School," 525, Sector 8-A ","Chandigarh - 160008, Chandigarh, India"," (0172)-2601214, 2605019
                          ","['Class X - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
56,Ishwar Singh Dev Samaj Senior Secondary School, Sector 21-C ,"Chandigarh - 160022, Chandigarh, India", (0172)-2706601,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1957']"
57,Jainendra Public School," Sector 1, Zirakpur-Kalka Highway ","Chandigarh - 134108, Chandigarh, India"," (0172)-2567541, 2584575, 2560357, 2567541
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1982']"
58,Jawahar Navodya Vidyalaya - JNV," Sector 25, (West) ","Chandigarh - 160014, Chandigarh, India", (0172)-2605236,"['Class V - Class XII', 'CBSE Board', 'Government School (Navodaya Vidyalaya)', 'Co-Educational School']"
59,KB DAV Senior Secondary Public School, Sector 7-B ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2791496, 2792433","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1994']"
60,Kendriya Vidyalaya - KV 23 BRD," 3 BRD, AFS ","Chandigarh - 160003, Chandigarh, India", (0172)-2655097,"['Senior Secondary School', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School']"
61,Kendriya Vidyalaya - KV AFS High Grounds," Air Force Station, High Grounds ","Chandigarh - 160004, Chandigarh, India"," (01762)-288044
                          ","['Class V - Class XII', 'CBSE Board', 'Private School (Kendriya Vidyalaya)', 'Co-Educational School', 'Established in 1984']"
62,Kendriya Vidyalaya - KV OCF 29," OCF, Sector 29-B ","Chandigarh - 160030, Chandigarh, India"," (0172)-2658645, 2650502","['Class V - Class XII', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School']"
63,Kendriya Vidyalaya - KV Sector 31, Sector 31-A ,"Chandigarh - 160031, Chandigarh, India", (0172)-2638953,"['Class V - Class XII', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School']"
64,Kendriya Vidyalaya - KV Sector 47, Sector 47-A (Near Gurudawara) ,"Chandigarh - 160047, Chandigarh, India", (0172)-2633404,"['Class V - Class XII', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School']"
65,Kids R Kids School, Sector 42-C ,"Chandigarh - 160036, Chandigarh, India"," (0172)-5074951
                          ","['Play - Class V', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2002']"
66,Kinderpillar Pre School," Adj. Community Centre, Sector 46-A ","Chandigarh - 160047, Chandigarh, India", (0172)-2634476,"['Play - Nursery', 'Private School', 'Co-Educational School']"
67,Kundan International School," Chandi Path, Sector 46-B ","Chandigarh - 160047, Chandigarh, India","  8699059502
                          ","['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
68,Little Flower School," Near Housing Board Chowk, Mani Majra ","Chandigarh - 160101, Chandigarh, India", (0172)-2732732,"['Nursery - Class X', 'Private School', 'Co-Educational School']"
69,Little Hearts The Fun School," Main Road, Sector 38-D, Landmark :- Opp. Government School ","Chandigarh - 160036, Chandigarh, India"," (0172)-4625673, 2691673
                          ","['Nursery - Class V', 'CBSE Board', 'Private School', 'Co-Educational School']"
70,Maharaja Jassa Singh Ramgarhia Public School, Sector 27-D ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2652055
                          ","['Class I - Class VIII', 'CBSE Board', 'Private School', 'Co-Educational School']"
71,Maharishi Dayanand Adarsh Vidyalaya, Sector 22-A ,"Chandigarh, Chandigarh, India"," (0172)-2701531, 5003848
                          ","['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
72,Manav Mangal High School, Sector 21-C ,"Chandigarh - 160022, Chandigarh, India"," (0172)-5039039, 5039040
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
73,MDAV Senior Secondary School," Main Road, Sector 22-A ","Chandigarh - 160022, Chandigarh, India"," (0172)-2701531
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
74,Modern Ways Model School, Sector 29-C ,"Chandigarh - 160030, Chandigarh, India"," (0172)-2638117
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
75,Mount Carmel School, Sector 47 ,"Chandigarh - 160047, Chandigarh, India", (0172)-2630145,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1987']"
76,MRA Senior Secondary Model School, Sector 27-A ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2651058, 2638652
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
77,National Institute of Open Schooling - NIOS," YMCA Complex, Sector 11-C ","Chandigarh - 160011, Chandigarh, India", (0172)-2744915,"['Senior Secondary School', 'Government School', 'Co-Educational School', 'Established in 1989']"
78,Navodaya Vidyalaya Samiti," Bay No. 26-27, Sector 31-A ","Chandigarh - 160032, Chandigarh, India", (0172)-2638838,"['Class X - Class XII', 'CBSE Board', 'Private School (Navodaya Vidyalaya)', 'Co-Educational School', 'Established in 1986']"
79,New Little Flower Playway School," #2501, Sector 44 ","Chandigarh - 160044, Chandigarh, India"," (0172)-2646224
                          ","['Play School', 'CBSE Board', 'Private School', 'Co-Educational School']"
80,New Public School - NPS, Sector 18-B ,"Chandigarh - 160026, Chandigarh, India"," (0172)-2774162, 2724157, 2774792","['Class X - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1960']"
81,Northridge International School, Sector 46-A ,"Chandigarh - 160047, Chandigarh, India", (0172)-2634476,"['Nursery - Class VII', 'CBSE Board', 'Private School', 'Co-Educational School']"
82,Pandit Mohan Lal S.D. Public School, Sector 32-C ,"Chandigarh - 160031, Chandigarh, India"," (0172)-2609669
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1989']"
83,Play N Play School," SCO 188-90, Sector 34 ","Chandigarh - 160022, Chandigarh, India"," (0172)-2668035
                          ","['Play School', 'Private School', 'Co-Educational School']"
84,Playway Smart School," Opp. Water Works, Sector 37-A ","Chandigarh - 160036, Chandigarh, India", (0172)-2691405,"['Play - Class V', 'Private School', 'Co-Educational School']"
85,PN Tagore Model School," #348,  Vill Khuda Lahora, ","Chandigarh - 160002, Chandigarh, India"," (0172)-2789083
                          ","['CBSE Board', 'Private School', 'Co-Educational School']"
86,Prince Model School, Sector 47-C ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2630449
                          ","['Play School', 'Private School', 'Co-Educational School']"
87,RIMT World School," Opposite Shivalik Garden, Manimajra ","Chandigarh - 160101, Chandigarh, India"," (0172)-2735440, 2735441
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
88,Rosevilla Model School," 106, Sector 27 ","Chandigarh - 160019, Chandigarh, India"," (0172)-2651099
                          ","['Private School', 'Co-Educational School']"
89,Ryan International School, Sector 49-B ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2632410
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2003']"
90,S. Joseph Senior Secondary School," Near Boaster, Sector 44-D ","Chandigarh - 160047, Chandigarh, India"," (0172)-2662616, 4639566","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
91,S.D. Saini Model School, Sector- 38 ,"Chandigarh - 160014, Chandigarh, India"," (0172)-2692912
                          ","['Private School', 'Co-Educational School']"
92,S.D. Secondary School, Sector-24 ,"Chandigarh - 160023, Chandigarh, India"," (0172)-2780011
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1964']"
93,Sacred Heart Senior Secondary School, Sector 26 ,"Chandigarh - 160026, Chandigarh, India"," (0172)-2792297
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Girls Only School']"
94,Sai Niketan Public School," SCO 73, Sector 31-C ","Chandigarh - 160031, Chandigarh, India"," (0172)-2609100
                          ","['Play School', 'CBSE Board', 'Private School', 'Co-Educational School']"
95,Saint Soldier International School, Sector 28-B ,"Chandigarh - 160002, Chandigarh, India"," (0172)-5024737, 5024738
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
96,Sanawar Montessori School, Sector- 11 ,"Chandigarh, Chandigarh, India"," (0172)-2747110
                          ","['Play - Class V', 'Private School', 'Co-Educational School', 'Established in 1975']"
97,Sanjay Public School Senior Secondary, Sector 44-B ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2607148, 4653000","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
98,Sanjivni Preparatory School and Child Care Centre," H.No. 44, Sector 11-A ","Chandigarh - 160011, Chandigarh, India"," (0172)-4639258, 2746789","['Play - Nursery', 'Private School', 'Co-Educational School']"
99,Sanskaar Play School," SCO 58-59, 3rd Floor, Sector 34 A ","Chandigarh - 160022, Chandigarh, India","  8449369369
                          ","['Play School', 'Private School', 'Co-Educational School']"
100,Saupin's School," Plot #14, Sector 32-A ","Chandigarh - 160047, Chandigarh, India"," (0172)-2664732, 2606090
                          ","['Nursery - Class XI', 'CBSE Board', 'Private School', 'Co-Educational School']"
101,Sharda Sarvhitkari Model Senior Secondary School," Near Sampark Center, Sector 40-D ","Chandigarh - 160036, Chandigarh, India"," (0172)-2694114
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
102,Shishu Niketan Model Senior Secondary School, Sector 22-D ,"Chandigarh - 160022, Chandigarh, India"," (0172)-2704966
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
103,Shishu Niketan Public School, Sector 43-A ,"Chandigarh - 160043, Chandigarh, India"," (0172)-2648966, 5014966
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
104,Shivalik Public School, Sector 41-B ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2626913, 2627451","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1970']"
105,Shri Guru Harikishen Model School, Sector 38-D ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2691673, 4625673
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
106,Shri Kulwant Rai Sarvhitkari Vidya Mandir," Behind-Mini Market, Sector 43-B ","Chandigarh - 160022, Chandigarh, India"," (0172)-2667401
                          ","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1970']"
107,Sikhya School, Sector 46 ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2664476, 5060455
                          ","['Class I - Class VIII', 'CBSE Board', 'Private School', 'Co-Educational School']"
108,Silver Oak School," Kothi No. 3112, Sector 32-D ","Chandigarh - 160031, Chandigarh, India"," (0172)-2660330
                          ","['Private School', 'Co-Educational School']"
109,SportyBeans," FirstSteps School, Sector 26 ","Chandigarh - 160019, Chandigarh, India","  9888172007
                          ","['Private School', 'Co-Educational School']"
110,Spring Vally Kindercare," Opposite #2422, Phase XI ","Chandigarh - 160065, Chandigarh, India", (0172)-2230015,"['Play - Nursery', 'Private School', 'Co-Educational School', 'Established in 2000']"
111,Sri Aurobindo School of Integral Education," Plot No. 1-A, Sector 27-A, Madhya Marg ","Chandigarh - 160019, Chandigarh, India"," (0172)-2656014, 5025222
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
112,Sri Guru Gobind Singh Collegiate Public School, Sector 26 ,"Chandigarh - 160026, Chandigarh, India","  8288029338, 9815406979, 9417139948
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
113,Sri Guru Gobind Singh Senior Secondary School, Sector 35-B ,"Chandigarh - 160022, Chandigarh, India", (0172)-2621555,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
114,Sri Guru Harkrishan Model School, Sector 38-D ,"Chandigarh - 160014, Chandigarh, India"," (0172)-4625673, 2691673
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
115,Sri Guru Harkrishan Senior Secondary	Public School, Sector 40-C ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2692838
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1986']"
116,St. Anne's Convent School, Sector 32-C ,"Chandigarh - 160030, Chandigarh, India"," (0172)-2603278
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
117,St. John's High School, Sector 26 ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2792571, 22792573, 22792574","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
118,St. Joseph's Senior Secondary School, Sector 44-D ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2662616, 4639566
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1981']"
119,St. Kabir Public School, Sector 26 ,"Chandigarh - 160019, Chandigarh, India"," (0172)-2791459, 2793437
                          ","['Kindergarten - Class XII', 'ICSE/ISC Board', 'Private School', 'Co-Educational School', 'Established in 1974']"
120,St. Mary's School, Sector 46-B ,"Chandigarh - 160002, Chandigarh, India"," (0172)-2633776, 2633575
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
121,St. Peter's Senior Secondary School, Sector 37-B ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2698800
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1985']"
122,St. Stephen's School, Sector 45-B ,"Chandigarh - 160047, Chandigarh, India"," (0172)-2605767, 2664547
                          ","['Class I - Class X', 'ICSE/ISC Board', 'Private School', 'Co-Educational School']"
123,St. Xavier's Senior Secondary School, Sector 44-C ,"Chandigarh - 160044, Chandigarh, India"," (0172)-2607079, 2601706","['Nursery - Class XII', 'ICSE/ISC Board', 'Private School', 'Co-Educational School']"
124,Star Public School, Sector 52 ,"Chandigarh - 160036, Chandigarh, India"," (0172)-2601120
                          ","['Primary School', 'Private School', 'Co-Educational School']"
125,Aastha Model School," Amartex Road, Industrial Area Phase I ","Panchkula - 134109, Haryana, India"," (0172)-2582323
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
126,Ajay Memorial High School, Sector 7 ,"Panchkula - 134109, Haryana, India"," (0172)-2561493
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
127,Akal Jyot Middle School," Lohgarh, Pinjore ","Panchkula - 134102, Haryana, India","  9416097746
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
128,Alpine School," Bhawana, Pinjore ","Panchkula - 134104, Haryana, India","  9254444494, 9815955556
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
129,Amravati Vidyalaya Senior Secondary School," Sector 2, Pinjore Kalka Urban Complex (PKUC) Amravati Enclave ","Panchkula - 134107, Haryana, India","  7056008814, 9729671444
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
130,Andale Public School," Site No. 1, Sector 9 ","Panchkula - 134108, Haryana, India","  8427700055
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
131,Andel Middle School, Sector 9 ,"Panchkula, Haryana, India","  9815100055
                          ","['Primary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
132,Angel Middle School, Pinjore ,"Panchkula - 134102, Haryana, India"," (0172)-231134
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
133,Army Public School - APS Chandimandir," Sector D, Chandimandir Catt ","Panchkula - 134107, Haryana, India"," (0172)-2589605, 2586030
                          ","['Class I - Class XII', 'CBSE Board', 'Government School (Army/Military)', 'Co-Educational School']"
134,Arya Girls Senior Secondary School, Kalka ,"Panchkula - 133302, Haryana, India"," (01733)-220867
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Girls Only School']"
135,Astha Middle School, Abaypur ,"Panchkula, Haryana, India","  9815407674, 9915282995
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
136,Azad Senior Secondary School, Pinjore ,"Panchkula - 134102, Haryana, India", (01733)-230563,"['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
137,B.K.M. Vishvas School, Sector 9 ,"Panchkula - 134108, Haryana, India"," (0172)-2584991, 2585991
                          ","['Class X - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1987']"
138,Ballistics Vidyalaya," TBRL Colony, Ramgarh ","Panchkula - 134116, Haryana, India"," (01733)-253039, 253046, 253017
                          ","['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1994']"
